Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
RVR,Scrypt,PoW,210000000.0,210000000.0,-0.17016396482813853,-1.1153371828816085,0.03346431345013248,2,Revolution VR
HODL,1GB AES Pattern Search,PoW,11448949.0,81962100.0,-0.15001733747245888,-2.271968162081841,0.16597992923969526,2,HOdlcoin
EDRC,SHA-256,PoW/PoS,3669691.84494672,22000000.0,-0.3064421002660065,0.8182559788135857,-0.2367833816330968,0,EDRCoin
HTC,X11,PoW/PoS,10996318099.0,26550000000.0,-0.06864631193653294,1.1994806426806808,-0.4081356171496325,0,Hitcoin
GAME,Scrypt,PoW,69836100.0,84000000.0,-0.1727721096600592,-1.1153224622231301,0.03349457948110268,2,Gamecredits
DBIC,SHA-256,PoW/PoS,5129014.0,10500000.0,-0.30650585582135365,0.8182621191646027,-0.2367828737333372,0,DubaiCoin
DIEM,SHA-256,PoW,21739971929.0,21626280000.0,0.28031204278916033,-1.3349573694131258,0.15329712713661606,2,CarpeDiemCoin
PWR,NIST5,PoW/PoS,10069449031.9252,0.0,-0.2250914728071064,1.507702768349219,-0.39786152902286276,0,PWR Coin
BLRY,Scrypt,PoW/PoS,8998743.2411911,42000000.0,-0.3414538652787244,1.0345940511990186,-0.3613998151947301,0,BillaryCoin
GPU,Scrypt,PoS,40477042.0,221052632.0,-0.29318981266184857,0.8379611721472856,-0.1927738802775526,0,GPU Coin
ADZ,X11,PoW,45110324.0,84000000.0,-0.22272709365048843,-0.9411205564054569,-0.00979643397929547,2,Adzcoin
SOIL,Dagger,PoW,5702048.0,30000000.0,-0.16125606382239302,-2.2815439487589027,0.41300803508024714,2,SoilCoin
YOC,Scrypt,PoW,636462.55983338,168351300.0,-0.17301981678050565,-1.1153871888735738,0.03350010728356865,2,YoCoin
SIB,X11GOST,PoW,17263355.0,24000000.0,-0.15501476750628035,-2.1071764560052735,0.3043251653405894,2,SibCoin
ERC,X11,PoW/PoS,10407269.7881868,384000000.0,-0.38866248730186087,1.208636751049773,-0.4047169323422374,0,EuropeCoin
ZEIT,Scrypt,PoS,36971236046.8073,99000000000.0,0.859354685043597,0.8018673571474624,-0.2049612318196447,0,ZeitCoin
SWING,SHA-256,PoW/PoS,4377081.60953993,40000000.0,-0.3063057251381923,0.8182473746905858,-0.23678464982733002,0,SwingCoin
SAFEX,Scrypt,PoC,2147483647.0,2147483647.0,-0.10966398668403265,0.45309869387579693,-0.1865818082561354,0,SafeExchangeCoin
NEBU,PoS,PoS,20000000.0,20000000.0,-0.34636083356794634,1.6258082505699893,-0.2351823885695039,0,Nebuchadnezzar
FRN,Scrypt,PoW,6570807.65677618,20000000.0,-0.17399991650172011,-1.115312316385596,0.033508698435458575,2,Francs
BOLI,X11,PoW,13654082.4987998,25000000.0,-0.2235304264211535,-0.9411021608018575,-0.009787667964241372,2,BolivarCoin
XRA,X11,PoW/PoS,134554941.15119,75000000.0,-0.3893368792667244,1.2088303265296385,-0.40471672103238543,0,Ratecoin
REV,SHA-256,PoW/PoS,1195525.0,222725000.0,-0.30504805245829153,0.8181565431822427,-0.23679588455069828,0,Revenu
CKC,SHA-256,PoW/PoS,16662820.0,525000000.0,-0.3027140187357813,0.8180132612956514,-0.2368177489876417,0,Clockcoin
VIP,NIST5,PoW/PoS,83450403.0,90000000.0,-0.3465723141080432,1.5042975814247013,-0.3962876654112422,0,VIP Tokens
BSD,X11,PoW/PoS,24387724.5010828,139000000.0,-0.3902299904937215,1.208761808715332,-0.4047034053934726,0,BitSend
OMNI,Scrypt,PoW,616448.0,616448.0,-0.17421027459388716,-1.1153047985816156,0.03351088550428798,2,Omni
LIR,POS 3.0,PoS,38589808.6658096,33500000.0,-0.3375162956269329,1.5516437709567334,-0.18070732769067477,0,Let it Ride
PUT,Scrypt,PoW/PoS,813092338.575672,2000000000.0,-0.31772697199001143,1.0339028482657393,-0.3616527907463171,0,PutinCoin
IBANK,Scrypt,PoW/PoS,4526324.0,44333333.0,-0.34149200193534623,1.034591399710075,-0.3613992576107431,0,iBankCoin
FRWC,Scrypt,PoW/PoS,100000000.0,100000000.0,-0.33992944822580606,1.0345961878253809,-0.3614179361584028,0,Frankywillcoin
MUDRA,X13,PoS,5000000.0,200000000.0,-0.22869310818523741,1.5829632020842752,-0.2590075462193143,0,MudraCoin
PIZZA,X11,PoW,1377917.0,25000000.0,-0.2236805524925075,-0.9411062925765258,-0.009785726046839017,2,PizzaCoin
LC,X11,PoS,657000000.0,657000000.0,-0.3322095262546457,1.012164750220735,-0.23619433495971046,0,Lutetium Coin
KMD,Equihash,dPoW/PoW,115898131.0,200000000.0,-0.2511821308192389,-1.212071534900576,0.5049793724575797,2,Komodo
GB,X11,PoW/PoS,15563873.0,50000000.0,-0.39096942422835124,1.2088025586898814,-0.40469629234698373,0,GoldBlocks
CTC,Scrypt,PoW/PoS,43165500.0,90000000.0,-0.34069543923671675,1.0345819714421374,-0.3614083033505528,0,CarterCoin
KRB,CryptoNight,PoW,7822432.72439746,10000000.0,0.30907659664863074,-2.271961093769916,0.25737409649874404,2,Karbo
BXT,SHA-256,PoW/PoS,595429.0,21000000.0,-0.3064867914381067,0.8182554353463315,-0.23678283108916698,0,BitTokens
ZYD,SHA-256,PoW,6243840.0,9736000.0,-0.13885789594918002,-1.3316534878778001,0.15812371531035685,2,ZayedCoin
MST,X11,PoW/PoS,657636.34549789,3000000.0,-0.39148521624611066,1.2088206297036976,-0.40469091517423195,0,MustangCoin
ZNE,Scrypt,PoW/PoS,2581970.0,21000000.0,-0.34168134825098334,1.034602207422888,-0.3613974511401676,0,ZoneCoin
COVAL,Multiple,PoW,1000000000.0,1200000000.0,-0.10328452771333775,-1.8650442991411618,0.2732000976275507,2,Circuits of Value
ROOT,Scrypt,PoW/PoS,1939889.0,0.0,-0.3418382121150579,1.0346123072281734,-0.36139600056101884,0,RootCoin
DOPE,Scrypt,PoW,116845228.0,200000000.0,-0.17137411894082571,-1.1153636235363331,0.03347969161619387,2,DopeCoin
BTCR,Scrypt,PoS,169598616.0,0.0,-0.2931793214479805,0.8381132189682278,-0.1927801053865915,0,BitCurrency
DLC,SHA-256,PoW,9106714.0,10638298.0,-0.13881648313969347,-1.3316529675629174,0.15812320448142222,2,DollarCoin
SCN,Scrypt,PoW/PoW,665200057.0,3100000000.0,-0.26022793522020576,0.2874947560004827,-0.019582580565722343,0,Swiscoin
SH,Scrypt,PoW,11119200.0,30000000.0,-0.17387333589381138,-1.1153156978764731,0.03350733655735232,2,Shilling
BUZZ,SHA-256D,PoW/PoS,19577787259.0,20000000000.0,0.03979621584984391,1.8832053533443485,-0.4196178228013707,0,BuzzCoin
XPO,PoS,PoS,74033806.7949683,74000000.0,-0.3453168772027638,1.625799910040128,-0.23519440484601492,0,Opair
PSB,Scrypt,PoW/PoS,33522957.0,0.0,-0.34145198060648063,1.0346229371044433,-0.3614009965599222,0,PesoBit
HALLO,X11,PoW/PoS,264678458.288619,1500000000.0,-0.3776340740609188,1.2081741138889497,-0.4048288447772322,0,Halloween Coin
XZC,Lyra2Z,PoW,7568281.24956067,21400000.0,-0.15389530654860886,-2.152145872766354,0.20224452493664338,2,ZCoin
CFC,PoS,PoS,148716816.0,39999898.0,-0.34464483149412906,1.6258417480124188,-0.23520403453233446,0,CoffeeCoin
ROYAL,X13,PoS,2500124.0,2500124.0,-0.2301250990680279,1.5830593793179253,-0.25899446365531836,0,RoyalCoin
GNJ,X14,PoW/PoS,100000000.0,100000000.0,-0.4061667320324051,1.9468474659146113,-0.6919609262910551,0,GanjaCoin V2
TEAM,PoS,PoS,17818682.1654,301000000.0,-0.34439358910094797,1.6256694797094418,-0.23520009456659108,0,TeamUP
LANA,SHA-256D,PoW/PoS,1082162635.53683,7506000000.0,-0.2750429804536468,1.883117777649719,-0.41588947683074423,0,LanaCoin
ELE,Ethash,PoW,26205539.0,26205539.0,-0.15180890239191905,-2.083586211781933,0.23700231240455016,2,Elementrem
ZCL,Equihash,PoW,5613550.0,21000000.0,-0.14612111908530775,-1.9917337150444143,0.3197750962036893,2,ZClassic
ARK,DPoS,DPoS,108202084.0,125000000.0,3.703697734689203,1.9248361662646645,0.15078587000822416,0,ARK
INSANE,X11,PoW/PoS,18342813.0,30000000.0,-0.3910773563910224,1.2088133186704075,-0.40469544716404693,0,InsaneCoin
KLC,Scrypt,PoW,196297971.0,10000000000.0,-0.10086364056317468,-1.1201509734300132,0.03283758487151416,2,KiloCoin
ATX,X11,PoW,824000000.0,500000000.0,-0.21025014526081426,-0.9410627596774405,-0.009946366678529899,2,ArtexCoin
EMB,X13,PoW/PoS,92192822723.0,850000000.0,0.856681799701424,1.8102269647846698,-0.44227453983097087,0,EmberCoin
XEN,X11,PoW/PoS,3853326.77707314,3853326.77707314,-0.3914400808916454,1.2088212860905367,-0.4046914755042199,0,XenixCoin
FRE,PoS,PoS,50000000.0,50000000.0,-0.34578108749041075,1.6258036106210039,-0.23518906130769818,0,FreeCoin
PLNC,Scrypt,PoW/PoS,17089600.0,38540000.0,-0.34137947310539524,1.034598473998156,-0.3614008727893123,0,PLNCoin
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000.0,-0.34153395547758814,1.0345918469539337,-0.361398779208445,0,AquariusCoin
KURT,X11,PoW,61364813.0,228000000.0,-0.22150652110945895,-0.9411858233178657,-0.009808255572402553,2,Kurrent
XCRE,PoS,PoS,20000000.0,20000000.0,-0.34636083356794634,1.6258082505699893,-0.2351823885695039,0,Creatio
ENT,X11,PoW/PoS,6069482.07721352,60000000.0,-0.3910145737818521,1.2087944508358586,-0.4046954328535055,0,Eternity
EUC,SHA-256,PoW/PoS,12416554.0,20000000.0,-0.3063493258888207,0.8182599052023485,-0.23678463678692163,0,Eurocoin
BCF,Scrypt,PoW/PoS,20244023.640728,33000000.0,-0.341380208176969,1.0346022571140674,-0.36140101589301016,0,BitcoinFast
XSN,X11,TPoS,75590369.0,76500000.0,-0.3674138946239025,0.622343337545426,-0.414127808116865,0,Stakenet
BCCOIN,Scrypt,PoW/PoS,11080722.3769581,28000000.0,-0.3415277458204312,1.0346016292014597,-0.3613992451940427,0,BitConnect Coin
MONEY,Scrypt,PoW/PoS,10914418.0,650659833.0,-0.3371115095867822,1.0342957016745935,-0.3614392176927406,0,MoneyCoin
XNG,X11,PoW/PoS,814671.0,5000000.0,-0.39146910425744447,1.2088197000890735,-0.40469106849214564,0,Enigma
XCI,CryptoNight,PoW,978145.0,21000000.0,0.3090709511897691,-2.2719688009155994,0.25737447254440643,2,Cannabis Industry Coin
RC,Scrypt,PoW/PoS,8377873.0,144000000.0,-0.34073768628814466,1.0345437363861547,-0.36140626932055675,0,Russiacoin
PND,Scrypt,PoS,33813143821.8337,32514916898.0,0.3489692694411661,0.8334641615551245,-0.200190756169246,0,PandaCoin
UNITS,Scrypt,PoW/PoS,3472983.0,13000000.0,-0.3417272183961333,1.0346064371804675,-0.3613970781770163,0,GameUnits
GAKH,Scrypt,PoW/PoS,3315789.0,3315789.0,-0.34179785796203505,1.0346111414856072,-0.36139643121081905,0,GAKHcoin
ASAFE2,Quark,PoS,10517772.7391666,15000000.0,-0.3434180871231837,1.4986455700108738,-0.24499585915680602,0,Allsafe
LTCR,QuBit,PoW/PoS,30227750.0,78835200.0,-0.3458816070846278,0.6143442286803682,-0.36618150199153904,0,LiteCreed
OS76,Scrypt,PoW,894026.0,2714286.0,-0.1741919942334333,-1.115305735686439,0.033510706833128,2,OsmiumCoin
BIC,CryptoNight,PoW,9357088.0,25000000.0,0.3092018010615886,-2.2719679457597395,0.25737289015854353,2,Bikercoins
HXX,Lyra2RE,PoW,1876146.443596,9999999.0,-0.13718785455452934,-2.2645801247304287,0.30637366548711126,2,HexxCoin
KED,Scrypt,PoW/PoS,23965372.0,500000000.0,-0.33802096069847004,1.0343741034207397,-0.36143160399171714,0,Klingon Empire Darsek
IOP,SHA-256,PoW/PoS,2526078.47525448,21000000.0,-0.306463181393023,0.8182560851427677,-0.23678313649086713,0,Internet of People
KUSH,X11,PoW/PoS,5659096.95728771,9354000.0,-0.39137896632399705,1.2088191917399014,-0.40469211450739817,0,KushCoin
PRX,Scrypt,PoW/PoS,11821728.0,20000000.0,-0.34157545041610043,1.0346058084712326,-0.36139884850182585,0,Printerium
PAC,X11,PoW,536982074.0,100000000000.0,0.4922720468614643,-0.9900371237656412,-0.016292706725158115,2,PacCoin
IMPCH,Scrypt,PoW/PoS,308179.0,21933333.0,-0.34170253185254096,1.0346009836509968,-0.3613971514143054,0,Impeach
CTL,CryptoNight-V7,PoW,10969318.522954,185000000.0,-0.14359090857239434,-2.239848768181147,0.3224190543095459,2,Citadel
ZBC,Scrypt,PoS,2922613.96424908,55000000.0,-0.29482734469894667,0.8380301031622677,-0.19275727270193355,0,Zilbercoin
FRST,Scrypt,PoW/PoS ,110000000.0,110000000.0,-0.2988767819237246,0.34465696114385846,-0.04645427995453133,0,FirstCoin
BVC,Scrypt,PoW,3115258.0,3360000.0,-0.1741602487769371,-1.115305305285522,0.0335103139855698,2,BeaverCoin
FIND,X13,PoS,14524851.4827,14524851.4827,-0.22989272278164344,1.5830575195138552,-0.25899713825059667,0,FindCoin
VLTC,X11,PoW,30385540.0,1000000000.0,-0.21640741074805758,-0.9415754824668338,-0.009852947296725806,2,VaultCoin
ZER,Equihash,PoW,6921653.89980891,17000000.0,-0.1461335053950132,-1.991731309842226,0.3197751462344402,2,Zero
CHAT,Scrypt,PoW/PoS,1000000000.0,1000000000.0,-0.32253706589973946,1.0344569893557998,-0.3616181183042292,0,OpenChat
CDN,Scrypt,PoW,99843408.3158479,100000000.0,-0.17229161541623336,-1.115320222439207,0.033488804927455186,2,Canada eCoin
ZOI,Lyra2RE,PoW,18545757.5,21000000.0,-0.13690594692251484,-2.2645799178311834,0.30637032196333364,2,Zoin
RNS,Scrypt,PoS,36050365.0,34426423.0,-0.29456820915424786,0.8380513593670476,-0.1927611914299469,0,RenosCoin
DBIX,Dagger-Hashimoto,PoW,2232901.0,2232901.0,-0.16873679542257758,-2.2092969122050365,0.19256886915596705,2,DubaiCoin
XVP,X11,PoW/PoS,13162749.0858027,100000000.0,-0.3906439977105084,1.2087771888565633,-0.404699124453603,0,VirtacoinPlus
TAJ,Blake2S,PoW/PoS,12184195.9258495,36900000.0,-0.3960504194233553,1.9448689966623558,-0.6509075776696586,0,TajCoin
IMX,X11,PoW/PoS,110630387.850471,110000000.0,-0.389381101253828,1.2088050810878115,-0.4047151848547667,0,Impact
EB3,Scrypt,PoW,64096052.0,4000000000.0,-0.14505515017382092,-1.117248065693384,0.03324392905722241,2,EB3coin
ATMOS,PoS,PoS,111135836.889,110290030.0,-0.34460564711295144,1.6257945705377865,-0.23520260508869567,0,Atmos
HPC,X11,PoW/PoS,21521322.0099142,100000000.0,-0.39054178014791946,1.2087800020916797,-0.4047004466627426,0,HappyCoin
CXT,NIST5,PoW,10123200.0,48252000.0,-0.18012552521273117,-0.6456229477584278,-0.001366667926009622,2,Coinonat
MCRN,PoS,PoS,401421401.0,400000000.0,-0.3390000008420054,1.6257499562821047,-0.2352671347656894,0,MacronCoin
RAIN,X11,PoW/PoS,121665451.643876,500000000.0,-0.38647879048861034,1.208617213965505,-0.40474198350738716,0,Condensate
IMS,Scrypt,PoW/PoS,5368934.0,21212121.0,-0.34164576110843403,1.0346030412270986,-0.36139790562518864,0,Independent Money System
ARGUS,Scrypt,PoW/PoS,1148324.0,28600000.0,-0.3416449523222908,1.034597991525473,-0.36139771257093384,0,ArgusCoin
LMC,Scrypt,PoW/PoS,500000.0,1000000000.0,-0.334760020073257,1.0341205888094274,-0.36146001140644546,0,LomoCoin
PROC,SHA-256,PoS,100545745.0,75000000000.0,0.27338011735587653,0.5849013396812038,-0.07297277255883537,0,ProCurrency
XGR,X11,PoW/PoS,17171382.0,40000000.0,-0.3910207238957747,1.2088080120652753,-0.4046959042462303,0,GoldReserve
BENJI,Scrypt,PoW,20276099.146524,35520400.0,-0.17372218388767824,-1.1153153277566863,0.03350553344133433,2,BenjiRolls
GRW,Scrypt,PoS,295135466.361878,2000000000.0,-0.27745252159290756,0.8371730031651963,-0.1929284407890345,0,GrowthCoin
ILC,SHA-256,PoW,1317747500.0,2500000000.0,-0.10514901093622064,-1.3324353784646048,0.15775628269241534,2,ILCoin
PHR,PoS,PoS,11390225.9742772,30000000.0,-0.34639516508063284,1.6258004404504425,-0.23518166901002635,0,Phreak
DEA,Scrypt,PoW/PoS,21358764.0,105000000.0,-0.3408556783014054,1.034567263467544,-0.3614058174096485,0,Degas Coin
HTML5,X15,PoW/PoS,40659020000.0,90000000000.0,0.9003103846810598,1.8450414432087314,-0.3833806773378172,0,HTML5 Coin
USC,SHA-256,PoS,10343113.0,200084200.0,-0.258488260001949,0.6216152269397287,-0.06815346072104864,0,Ultimate Secure Cash
EQT,Scrypt,PoW,13673406.4325268,72000000.0,-0.17354407670503472,-1.1153354700296736,0.033504234495817915,2,EquiTrader
QTUM,POS 3.0,PoS,100000000.0,100000000.0,-0.33629343544161316,1.5516317726655278,-0.18072131379057843,0,QTUM
QRL,CryptoNight-V7,PoW,69036016.8340164,105000000.0,-0.14344847097257418,-2.23978992603663,0.3224150080605978,2,Quantum Resistant Ledger
ESP,536,PoW/PoS,22801882871.0,50000000000.0,0.5776580114977603,2.0049639264237173,-0.6007413407791256,0,Espers
DYN,Argon2d,PoW,19784224.6512734,0.0,-0.151362507618834,-2.3005877089554323,0.32754329205618693,2,Dynamic
NANO,Blake2b,PoW,133248297.0,340282367.0,-0.018471285783557438,-2.178814491370023,0.2920561221691926,2,Nano
CHAN,Cloverhash,PoW,18407259.0885883,30000000.0,-0.12913772166390924,-2.152335994779717,0.2255521555712069,2,ChanCoin
DCY,CryptoNight,PoW,1809467143.0,2000000000.0,0.34522967667895843,-2.272332271572291,0.2569612666999852,2,Dinastycoin
DNR,NIST5,PoW/PoS,4171382.0,10000000.0,-0.34810948674641,1.504310197281056,-0.39626998549150194,0,Denarius
DP,X11,PoW,35138975.0,100000000.0,-0.2227355011538266,-0.9411317721914831,-0.009795884469425581,2,DigitalPrice
VUC,NIST5,PoW/PoS,62942075.0,120000000.0,-0.34661023784393924,1.5042759419468152,-0.3962863484395292,0,Virta Unique Coin
BTPL,Skein,PoW/PoS,6804362.0,100000000.0,-0.3996037980166063,1.9418956363544977,-0.5232201925374937,0,Bitcoin Planet
UNIFY,Scrypt,PoW,18133195.0,19276800.0,-0.17386365095542577,-1.1153080695861246,0.033506915885127754,2,Unify
BRIT,X13,PoW/PoS,21268092.0,30000000.0,-0.27630903123790707,1.7796077041241307,-0.4276416154751681,0,BritCoin
SOCC,Scrypt,PoW,5167775.0,75000000.0,-0.17362680525459698,-1.1153398064614912,0.03350538725170623,2,SocialCoin
